Report_Date,Case ID,Source,Event Type,Portfolio,OneCode,Location,ClientName,Scheme,Team Name,Process Name,Process Group,Current Outsourcing Team,Onshore/Offshore,Scan+2,Site,Manual/RPA,Critical,Forthcoming Event,Operational Location,Current Activity User,Consented/Non consented,Mercer Consented,Vulnerable Customer,Start Date,Create Date,Data Type,Target Date,End Date,Within SLA,No of Days,Days to Target,Pend Case,No of days in pend,Regulatory Date (disclosure),Pend Reason
22-01-2025,6bc54cdb-f605-4d3e-b4aa-1f32a5f5cec4,Phone,Closure,Hybrid,XZg-24087,London,Smith Ltd,Open-source incremental moratorium,Team C,Audit,Group 2,Team Z,Offshore,23-01-2025,London,RPA,Yes,Yes,Mumbai,chambersvanessa,Non consented,Yes,Yes,20-01-2025,21-01-2025,Complaint,24-01-2025,,Within SLA,2,2,No,0,22-01-2025,
22-01-2025,48ae3a47-27af-4995-8e5a-5e092ccc181e,Phone,Request,Hybrid,jHm-08475,London,Cooke-Garza,Innovative 5thgeneration ability,Team A,Audit,Group 2,Team Z,Offshore,22-01-2025,Mumbai,Manual,Yes,Yes,Singapore,christopher84,Consented,Yes,No,17-01-2025,20-01-2025,Transaction,27-01-2025,,Within SLA,3,5,Yes,3,23-01-2025,Client Response
22-01-2025,1e1efa47-4a0d-4cd8-afca-4dbfedf27628,Paper,Closure,Equity,WDH-57809,Mumbai,Johnson PLC,Ameliorated asynchronous algorithm,Team C,Processing,Group 1,Team Z,Offshore,22-01-2025,London,Manual,Yes,Yes,New York,curtis45,Non consented,Yes,No,17-01-2025,20-01-2025,Complaint,28-01-2025,22-01-2025,Within SLA,3,,No,0,22-01-2025,
22-01-2025,9cfee5c9-13c3-46ce-8d20-d60f3e1a09ae,Email,Change,Debt,sEJ-52814,New York,Marsh-Roberts,Self-enabling clear-thinking neural-net,Team B,Processing,Group 2,Team Y,Offshore,22-01-2025,London,Manual,Yes,No,New York,thompsondarlene,Non consented,No,Yes,17-01-2025,20-01-2025,Transaction,27-01-2025,,Within SLA,3,5,Yes,3,24-01-2025,Other
22-01-2025,9c38e544-ed24-4309-8e32-fd20ac941700,Portal,Closure,Debt,FJP-30635,Singapore,"Donaldson, Nunez and Perez",Realigned optimal throughput,Team B,Audit,Group 1,Team Z,Onshore,21-01-2025,Sydney,RPA,No,No,New York,contrerasconnor,Consented,Yes,No,17-01-2025,19-01-2025,Complaint,28-01-2025,22-01-2025,Within SLA,3,,Yes,3,22-01-2025,Other
22-01-2025,75aec072-6b9d-4ef2-94e1-14bf637536e0,Phone,Follow-up,Debt,Ccf-33745,Singapore,Flores-Wallace,Cross-group directional instruction set,Team B,Validation,Group 2,Team Z,Onshore,23-01-2025,Sydney,Manual,No,No,Mumbai,evansrachel,Non consented,No,Yes,18-01-2025,21-01-2025,Complaint,23-01-2025,22-01-2025,Within SLA,2,,No,0,24-01-2025,
22-01-2025,578dd65f-54bc-4607-b85b-81c21c50ff9e,Email,Request,Equity,Ivu-36915,New York,Campbell-Frye,Assimilated human-resource conglomeration,Team C,Validation,Group 1,Team Y,Onshore,22-01-2025,Sydney,RPA,No,No,Singapore,yhart,Consented,No,No,17-01-2025,20-01-2025,Query,22-01-2025,,Within SLA,3,0,Yes,4,24-01-2025,Client Response
22-01-2025,c4e3a5ed-ed77-4d37-8aa4-99b776c96825,Phone,Closure,Equity,lzy-21539,London,"Clark, Garrison and Flowers",Object-based directional capacity,Team C,Audit,Group 1,Team Z,Offshore,22-01-2025,Mumbai,RPA,Yes,Yes,Sydney,karen31,Consented,Yes,No,17-01-2025,20-01-2025,Transaction,22-01-2025,22-01-2025,Within SLA,3,,No,0,22-01-2025,
22-01-2025,282a09a1-961c-4ea6-bb0a-71edd6c8cdd4,Paper,Change,Hybrid,alj-80485,London,Butler Ltd,Reduced actuating benchmark,Team A,Audit,Group 1,Team Y,Offshore,23-01-2025,Sydney,Manual,No,Yes,London,dawnlewis,Consented,Yes,Yes,20-01-2025,21-01-2025,Query,29-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,9aac8b79-7d49-48f9-b9c7-02ee9e7677dd,Paper,Follow-up,Debt,dPb-71900,New York,Erickson Ltd,Mandatory intermediate attitude,Team C,Approval,Group 1,Team X,Onshore,21-01-2025,New York,Manual,No,No,Singapore,vthomas,Non consented,Yes,No,16-01-2025,19-01-2025,Complaint,21-01-2025,22-01-2025,Breech,4,,Yes,5,23-01-2025,System Issue
22-01-2025,379a1afe-fa37-4fd0-8dc5-ee2bba19cf04,Portal,Closure,Equity,DYI-23167,Singapore,Mitchell Group,Implemented leadingedge superstructure,Team B,Approval,Group 2,Team Y,Offshore,21-01-2025,Mumbai,Manual,No,Yes,Singapore,mary70,Consented,Yes,No,16-01-2025,19-01-2025,Transaction,24-01-2025,,Within SLA,4,2,Yes,4,22-01-2025,Client Response
22-01-2025,9d6ca021-1e46-4cdc-bd76-8a7dc8497cca,Phone,Closure,Equity,fQC-45391,Mumbai,Patterson-Fisher,Optimized global approach,Team B,Audit,Group 2,Team Z,Offshore,23-01-2025,Singapore,Manual,No,Yes,Singapore,gregory76,Consented,Yes,Yes,21-01-2025,21-01-2025,Transaction,28-01-2025,,Within SLA,1,6,Yes,1,22-01-2025,Awaiting Docs
22-01-2025,c8a411f7-06c8-41aa-a001-6ab711202099,Email,Change,Debt,EJd-92815,Mumbai,Bates-Robles,Secured analyzing collaboration,Team C,Audit,Group 1,Team X,Offshore,21-01-2025,Mumbai,RPA,Yes,Yes,London,johnleonard,Consented,Yes,No,18-01-2025,19-01-2025,Complaint,24-01-2025,,Within SLA,2,2,Yes,1,24-01-2025,Awaiting Docs
22-01-2025,8c0e6204-a045-43f3-ba7c-61f7640aeae7,Portal,Request,Debt,nvp-70676,Mumbai,Hernandez Ltd,Pre-emptive bottom-line moratorium,Team C,Audit,Group 1,Team Y,Onshore,22-01-2025,Sydney,Manual,Yes,Yes,Mumbai,brenda12,Consented,No,Yes,19-01-2025,20-01-2025,Query,24-01-2025,22-01-2025,Within SLA,2,,Yes,2,22-01-2025,System Issue
22-01-2025,844e19ff-a2c1-4893-9198-a56060e8b47c,Portal,Follow-up,Debt,Fff-48563,London,Singleton-Obrien,Ergonomic 3rdgeneration analyzer,Team A,Audit,Group 1,Team X,Offshore,23-01-2025,Mumbai,RPA,No,Yes,Singapore,mcmillanjohn,Consented,Yes,Yes,18-01-2025,21-01-2025,Complaint,23-01-2025,22-01-2025,Within SLA,2,,Yes,1,24-01-2025,Client Response
22-01-2025,e88859dd-c5dd-4f8b-962e-d43fd4868d2d,Phone,Change,Hybrid,pSS-39892,New York,Clark LLC,Optional grid-enabled policy,Team B,Approval,Group 2,Team X,Offshore,23-01-2025,New York,RPA,No,No,Mumbai,njames,Non consented,Yes,Yes,20-01-2025,21-01-2025,Query,29-01-2025,22-01-2025,Within SLA,2,,Yes,1,24-01-2025,System Issue
22-01-2025,c1456f26-7a8f-46a2-b88c-d2b020769df3,Paper,Change,Equity,mZR-84178,London,Gutierrez-Hudson,Mandatory demand-driven moderator,Team A,Approval,Group 2,Team Y,Onshore,21-01-2025,Mumbai,RPA,Yes,No,Singapore,blakegarcia,Non consented,No,No,18-01-2025,19-01-2025,Transaction,22-01-2025,,Within SLA,2,0,No,0,23-01-2025,
22-01-2025,3879b941-586d-4a5d-b16c-d8d050e04efe,Phone,Follow-up,Equity,WyN-37565,New York,Madden-Green,Organic multimedia frame,Team B,Approval,Group 1,Team X,Offshore,23-01-2025,Singapore,Manual,Yes,No,London,rmoore,Non consented,Yes,Yes,19-01-2025,21-01-2025,Transaction,28-01-2025,,Within SLA,2,6,Yes,2,23-01-2025,Awaiting Docs
22-01-2025,76b12e05-9136-4d62-b919-1ede7e24a483,Phone,Change,Equity,SPd-25184,Singapore,Johnson-Hall,Seamless multi-tasking challenge,Team B,Validation,Group 1,Team Z,Offshore,22-01-2025,London,Manual,Yes,No,Mumbai,carterangela,Non consented,Yes,No,17-01-2025,20-01-2025,Transaction,28-01-2025,22-01-2025,Within SLA,3,,No,0,23-01-2025,
22-01-2025,abc041a3-383e-451f-a150-ddd76830e63b,Email,Change,Hybrid,hei-28630,Sydney,Johnson Inc,Up-sized systematic model,Team C,Approval,Group 2,Team Z,Onshore,22-01-2025,London,Manual,Yes,Yes,Mumbai,wesley42,Consented,Yes,No,17-01-2025,20-01-2025,Transaction,28-01-2025,,Within SLA,3,6,Yes,4,23-01-2025,Client Response
22-01-2025,377c15a4-0c7d-4796-a0b5-ddd08a77fcc0,Email,Follow-up,Debt,qOe-88904,Mumbai,Campbell LLC,Front-line asymmetric hardware,Team B,Audit,Group 1,Team Z,Onshore,23-01-2025,New York,RPA,Yes,No,Mumbai,gcruz,Consented,Yes,Yes,20-01-2025,21-01-2025,Complaint,28-01-2025,,Within SLA,2,6,Yes,1,22-01-2025,Awaiting Docs
22-01-2025,36acf970-afe6-452b-936a-c2c85705aed4,Paper,Change,Debt,GPn-53814,Mumbai,Collins-Flores,Profit-focused actuating customer loyalty,Team B,Audit,Group 2,Team Y,Onshore,22-01-2025,Singapore,Manual,Yes,No,Singapore,weberalexander,Consented,No,No,18-01-2025,20-01-2025,Query,27-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,9b3716cf-e5bf-4a33-a7a0-deec1a4b0992,Paper,Follow-up,Hybrid,Bfg-88371,Mumbai,Black-Price,Programmable interactive budgetary management,Team C,Validation,Group 1,Team Z,Onshore,21-01-2025,Singapore,Manual,No,No,Sydney,carrolltheodore,Consented,No,No,17-01-2025,19-01-2025,Transaction,27-01-2025,22-01-2025,Within SLA,3,,No,0,22-01-2025,
22-01-2025,5b330f17-7044-4480-a2a8-4555d4e4085e,Portal,Change,Hybrid,AeE-98332,Sydney,Ball Inc,Managed national database,Team A,Approval,Group 1,Team X,Offshore,22-01-2025,London,RPA,Yes,No,New York,jake58,Non consented,Yes,Yes,20-01-2025,20-01-2025,Complaint,24-01-2025,,Within SLA,2,2,Yes,1,23-01-2025,Client Response
22-01-2025,6c070379-5907-4268-968b-42cc112532b3,Paper,Closure,Debt,pxp-57285,Mumbai,Lane PLC,Visionary well-modulated migration,Team B,Audit,Group 1,Team Z,Offshore,21-01-2025,Singapore,Manual,No,Yes,Sydney,justinhughes,Non consented,No,Yes,16-01-2025,19-01-2025,Complaint,22-01-2025,,Within SLA,4,0,No,0,23-01-2025,
22-01-2025,77d70311-1821-4551-a45b-d570a8d23fe2,Phone,Follow-up,Equity,RvI-75801,New York,Hickman-Patterson,Pre-emptive real-time database,Team C,Approval,Group 2,Team X,Offshore,22-01-2025,Singapore,Manual,No,Yes,New York,briggskimberly,Consented,No,Yes,18-01-2025,20-01-2025,Complaint,27-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,83f3c616-c9e7-4ab3-a6d0-e3c401a75e0a,Email,Follow-up,Hybrid,EWy-53272,London,Watkins-Shepherd,Face-to-face eco-centric functionalities,Team A,Audit,Group 2,Team X,Offshore,21-01-2025,Sydney,Manual,No,No,Sydney,littlelisa,Non consented,Yes,Yes,16-01-2025,19-01-2025,Query,23-01-2025,,Within SLA,4,1,Yes,1,22-01-2025,System Issue
22-01-2025,d4227f59-c3f9-4e60-b4e8-fa93a38f8315,Portal,Closure,Debt,EDV-38277,London,Martinez PLC,Implemented client-driven functionalities,Team B,Approval,Group 1,Team Z,Offshore,21-01-2025,London,RPA,No,Yes,New York,heathercastillo,Non consented,No,No,19-01-2025,19-01-2025,Query,28-01-2025,22-01-2025,Within SLA,2,,Yes,2,24-01-2025,Client Response
22-01-2025,32cb9f74-63d2-4733-abea-28508103265e,Email,Closure,Hybrid,fje-09007,Mumbai,Wilcox Ltd,Grass-roots client-server core,Team A,Validation,Group 1,Team Z,Offshore,23-01-2025,New York,RPA,No,No,New York,emily73,Consented,Yes,Yes,18-01-2025,21-01-2025,Transaction,22-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,661532bb-c599-49ca-9990-e2436f3b8e35,Portal,Closure,Debt,MNU-67640,Mumbai,"Gray, Bond and Lee",Vision-oriented encompassing adapter,Team C,Audit,Group 1,Team Z,Offshore,23-01-2025,New York,Manual,No,Yes,Sydney,gilbertmichael,Consented,No,Yes,18-01-2025,21-01-2025,Query,23-01-2025,22-01-2025,Within SLA,2,,No,0,24-01-2025,
22-01-2025,756a64f9-0366-489e-b413-5c649faf30fd,Portal,Change,Debt,AdW-05473,New York,Cook Ltd,Reverse-engineered bifurcated artificial intelligence,Team B,Validation,Group 1,Team Y,Offshore,23-01-2025,New York,RPA,No,Yes,Mumbai,benjamin10,Consented,No,No,21-01-2025,21-01-2025,Transaction,29-01-2025,,Within SLA,1,7,Yes,1,23-01-2025,System Issue
22-01-2025,81f21460-49fd-4ee5-9192-afa7387cfb13,Paper,Change,Debt,Mlg-83571,Singapore,Duncan-Kennedy,Cross-group eco-centric info-mediaries,Team A,Processing,Group 2,Team Y,Onshore,23-01-2025,New York,Manual,No,Yes,Singapore,tarapage,Consented,No,No,19-01-2025,21-01-2025,Transaction,28-01-2025,,Within SLA,2,6,Yes,2,23-01-2025,Client Response
22-01-2025,979d5820-e393-4344-9bba-4c4f438cf5de,Phone,Follow-up,Equity,cZc-27240,Singapore,"Gilmore, Leonard and Thomas",Quality-focused hybrid secured line,Team C,Validation,Group 2,Team Z,Onshore,23-01-2025,London,Manual,No,No,London,millerelizabeth,Consented,Yes,Yes,21-01-2025,21-01-2025,Query,29-01-2025,,Within SLA,1,7,Yes,1,22-01-2025,System Issue
22-01-2025,51d33ded-0478-48cd-8a37-973b60826fe9,Phone,Follow-up,Equity,rnj-19085,Mumbai,Rich-Morales,Streamlined dedicated superstructure,Team A,Validation,Group 2,Team X,Offshore,22-01-2025,Mumbai,RPA,Yes,No,London,kochheather,Non consented,Yes,No,17-01-2025,20-01-2025,Complaint,24-01-2025,22-01-2025,Within SLA,3,,No,0,23-01-2025,
22-01-2025,cf3e297f-00e8-4059-ba24-6f051d2c5ae2,Phone,Follow-up,Hybrid,Pov-48028,Mumbai,"Crane, Brown and Stephens",Right-sized web-enabled contingency,Team C,Processing,Group 1,Team X,Onshore,23-01-2025,Singapore,Manual,No,No,Mumbai,howelljerry,Consented,Yes,No,18-01-2025,21-01-2025,Query,28-01-2025,22-01-2025,Within SLA,2,,Yes,3,22-01-2025,System Issue
22-01-2025,dd0f46d4-bbc3-46e5-a87f-4357ffaaaf7b,Email,Request,Debt,BES-50167,Singapore,Hicks Group,Object-based clear-thinking protocol,Team C,Processing,Group 2,Team X,Onshore,21-01-2025,New York,Manual,No,No,Singapore,robertyoung,Non consented,No,Yes,18-01-2025,19-01-2025,Complaint,24-01-2025,,Within SLA,2,2,No,0,22-01-2025,
22-01-2025,15eb89a8-65a7-4b5f-a4c1-bf9172926459,Email,Follow-up,Debt,PMR-65228,Mumbai,"Medina, Lynch and Ford",Reduced optimal encoding,Team B,Validation,Group 1,Team X,Offshore,22-01-2025,Sydney,RPA,Yes,No,London,ariana12,Non consented,No,Yes,17-01-2025,20-01-2025,Query,24-01-2025,,Within SLA,3,2,Yes,4,23-01-2025,System Issue
22-01-2025,7a03d8a0-9f5b-4ced-9765-e2bb52ce32e8,Phone,Change,Equity,MFy-77265,Singapore,Johnson-Roberson,Realigned holistic support,Team A,Processing,Group 2,Team Y,Offshore,22-01-2025,New York,Manual,No,Yes,London,stewartsandra,Non consented,No,No,18-01-2025,20-01-2025,Query,22-01-2025,22-01-2025,Within SLA,2,,No,0,22-01-2025,
22-01-2025,597e2005-7dc4-47dd-a395-15ead5d44c34,Email,Request,Debt,Lmb-70302,Singapore,Garcia and Sons,Mandatory scalable access,Team A,Validation,Group 2,Team X,Offshore,21-01-2025,Mumbai,Manual,Yes,No,Sydney,schneiderpeter,Non consented,No,No,17-01-2025,19-01-2025,Transaction,24-01-2025,22-01-2025,Within SLA,3,,No,0,24-01-2025,
22-01-2025,065eb4e1-fe80-4c84-89cc-bdfba2930d60,Portal,Change,Debt,zQM-57144,Singapore,Valenzuela-Gregory,Proactive eco-centric application,Team B,Audit,Group 1,Team Y,Offshore,22-01-2025,Mumbai,RPA,No,No,New York,fdaniels,Consented,Yes,No,19-01-2025,20-01-2025,Transaction,23-01-2025,,Within SLA,2,1,No,0,22-01-2025,
22-01-2025,a55c67bd-5ca4-4098-b551-bf83c9faf9b7,Phone,Follow-up,Equity,vUe-44534,Sydney,James-Patterson,Reactive national protocol,Team A,Audit,Group 2,Team Z,Offshore,23-01-2025,London,Manual,No,No,Mumbai,ggomez,Consented,No,No,21-01-2025,21-01-2025,Query,28-01-2025,22-01-2025,Within SLA,1,,Yes,1,22-01-2025,Awaiting Docs
22-01-2025,502d3593-8480-46ab-8cba-06edd47262cf,Portal,Change,Hybrid,xHE-32077,New York,Glass PLC,Implemented dynamic complexity,Team A,Processing,Group 2,Team X,Onshore,22-01-2025,Mumbai,Manual,Yes,No,Singapore,nwise,Consented,No,No,20-01-2025,20-01-2025,Complaint,24-01-2025,,Within SLA,2,2,Yes,1,24-01-2025,Client Response
22-01-2025,e830331b-7d72-4ae1-bd01-7e57ea285bde,Portal,Follow-up,Debt,QOR-29545,Mumbai,Allen Inc,Cloned intangible challenge,Team C,Approval,Group 2,Team Z,Onshore,22-01-2025,New York,RPA,Yes,No,New York,angie51,Non consented,Yes,No,17-01-2025,20-01-2025,Transaction,23-01-2025,22-01-2025,Within SLA,3,,Yes,3,23-01-2025,Awaiting Docs
22-01-2025,dbc4da67-9ed5-40f7-bdd1-0830c0271c77,Email,Closure,Equity,jpQ-53111,Singapore,Johnston-Hill,Down-sized impactful help-desk,Team B,Validation,Group 1,Team Z,Onshore,21-01-2025,Singapore,Manual,Yes,No,Mumbai,nicolemontoya,Non consented,No,No,19-01-2025,19-01-2025,Complaint,22-01-2025,22-01-2025,Within SLA,2,,Yes,1,24-01-2025,Client Response
22-01-2025,3bea22db-922e-4cc6-ac84-7a070f286fc1,Paper,Change,Hybrid,YpN-19630,Mumbai,"Rogers, Jones and Garner",Centralized fault-tolerant groupware,Team C,Audit,Group 2,Team Y,Offshore,21-01-2025,New York,RPA,No,No,Sydney,josephjennifer,Consented,No,Yes,18-01-2025,19-01-2025,Transaction,28-01-2025,22-01-2025,Within SLA,2,,Yes,1,22-01-2025,Other
22-01-2025,4ab047e0-a856-4d84-9727-d487ef8df74d,Paper,Request,Hybrid,pzt-20259,London,Williams-Frazier,Reactive context-sensitive toolset,Team C,Validation,Group 2,Team X,Offshore,23-01-2025,New York,RPA,No,Yes,Singapore,danielscott,Non consented,No,No,20-01-2025,21-01-2025,Complaint,28-01-2025,,Within SLA,2,6,Yes,1,23-01-2025,Awaiting Docs
22-01-2025,6f95be22-3fac-4fa6-8c95-6585a59b0682,Paper,Change,Debt,RPk-95310,Sydney,"Zavala, Webb and Wilson",Stand-alone bi-directional Graphic Interface,Team C,Processing,Group 2,Team Y,Offshore,21-01-2025,Mumbai,RPA,No,Yes,Singapore,russellfelicia,Consented,Yes,Yes,16-01-2025,19-01-2025,Transaction,21-01-2025,22-01-2025,Breech,4,,No,0,23-01-2025,
22-01-2025,230c77f1-5be6-4e9e-86e3-3f44c5db348f,Email,Change,Equity,CPs-98770,Singapore,Jefferson-Yang,Upgradable attitude-oriented hub,Team B,Approval,Group 2,Team X,Offshore,21-01-2025,Mumbai,Manual,No,Yes,New York,brianhill,Non consented,Yes,No,18-01-2025,19-01-2025,Complaint,23-01-2025,,Within SLA,2,1,No,0,23-01-2025,
22-01-2025,6587a1af-c2e0-4128-b3dc-e0e0665700be,Phone,Follow-up,Hybrid,MXU-03040,Sydney,Nelson Ltd,Team-oriented logistical service-desk,Team C,Processing,Group 2,Team Y,Offshore,22-01-2025,Mumbai,RPA,Yes,Yes,New York,kenneth18,Non consented,No,No,17-01-2025,20-01-2025,Complaint,23-01-2025,,Within SLA,3,1,Yes,2,23-01-2025,Client Response
22-01-2025,3d76c659-256d-4405-b93d-f0b6b60301aa,Paper,Closure,Debt,epJ-68810,Singapore,"Anderson, Thompson and Williams",Versatile foreground attitude,Team B,Processing,Group 1,Team Y,Onshore,21-01-2025,New York,Manual,Yes,No,Sydney,johnbrooks,Non consented,No,No,16-01-2025,19-01-2025,Query,21-01-2025,22-01-2025,Breech,4,,Yes,2,23-01-2025,Client Response
22-01-2025,28e0fd9e-4f7d-4715-8ba5-5e2f19bda5ca,Paper,Change,Equity,QJk-20138,London,Flynn-Thompson,Visionary neutral support,Team C,Validation,Group 1,Team X,Offshore,23-01-2025,Sydney,Manual,No,No,Mumbai,ginajones,Consented,No,Yes,21-01-2025,21-01-2025,Query,30-01-2025,22-01-2025,Within SLA,1,,Yes,1,23-01-2025,Other
22-01-2025,b4d8a6c3-97ae-4c61-82a1-c1c2bfc41c8b,Email,Follow-up,Equity,ccb-47672,Sydney,Anderson-Scott,Universal bandwidth-monitored time-frame,Team A,Validation,Group 2,Team X,Offshore,23-01-2025,Sydney,RPA,No,No,Sydney,levyrobin,Consented,No,Yes,19-01-2025,21-01-2025,Query,23-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,3dcf494c-6f07-4181-9d38-45db74edb327,Phone,Follow-up,Debt,Mug-48508,Singapore,Robinson Inc,Progressive holistic artificial intelligence,Team A,Audit,Group 2,Team Z,Offshore,22-01-2025,Mumbai,Manual,Yes,No,Mumbai,khanbreanna,Non consented,Yes,No,19-01-2025,20-01-2025,Complaint,22-01-2025,,Within SLA,2,0,Yes,2,22-01-2025,Client Response
22-01-2025,351cf739-7e92-4c57-9d0b-7acc5f4c1f41,Portal,Request,Debt,EVs-71388,New York,Martin and Sons,Extended systemic projection,Team B,Validation,Group 1,Team X,Offshore,23-01-2025,Sydney,RPA,No,Yes,New York,elizabeth14,Consented,Yes,No,18-01-2025,21-01-2025,Query,24-01-2025,22-01-2025,Within SLA,2,,Yes,2,24-01-2025,Awaiting Docs
22-01-2025,e2c045e6-6417-4a88-8996-e7fc4c1003df,Portal,Change,Debt,Una-62763,Sydney,Bean-Rodriguez,Persevering intangible time-frame,Team C,Approval,Group 1,Team Y,Onshore,21-01-2025,Mumbai,Manual,Yes,No,New York,suttongrant,Non consented,Yes,Yes,18-01-2025,19-01-2025,Query,28-01-2025,,Within SLA,2,6,No,0,24-01-2025,
22-01-2025,97d90588-6333-457a-90bc-850efa19e10d,Portal,Closure,Debt,JJX-87036,London,Smith LLC,Quality-focused directional matrix,Team C,Processing,Group 2,Team X,Onshore,22-01-2025,Mumbai,RPA,No,Yes,Mumbai,richardperez,Consented,No,Yes,20-01-2025,20-01-2025,Transaction,28-01-2025,22-01-2025,Within SLA,2,,No,0,23-01-2025,
22-01-2025,5832295f-c3f8-425a-9429-7ac2d7cadeaf,Paper,Change,Equity,QPk-92291,Mumbai,Donovan-Reyes,Right-sized directional focus group,Team B,Processing,Group 2,Team Y,Onshore,22-01-2025,New York,Manual,Yes,No,New York,williamsjoseph,Consented,No,Yes,20-01-2025,20-01-2025,Query,23-01-2025,22-01-2025,Within SLA,2,,Yes,1,24-01-2025,Awaiting Docs
22-01-2025,a6e9b5ae-6685-4327-b22d-1294fd28a4d7,Email,Closure,Equity,NUY-07578,Sydney,"Meyer, King and Ray",Horizontal optimal pricing structure,Team A,Validation,Group 2,Team Z,Offshore,22-01-2025,Mumbai,Manual,Yes,Yes,Singapore,dweber,Non consented,No,Yes,19-01-2025,20-01-2025,Complaint,23-01-2025,,Within SLA,2,1,Yes,1,24-01-2025,Client Response
22-01-2025,de458daf-ee0b-449c-a946-5d2950d346e8,Portal,Closure,Debt,rIA-21711,London,Travis-Kelly,User-centric bandwidth-monitored neural-net,Team B,Processing,Group 2,Team Y,Onshore,24-01-2025,Singapore,RPA,Yes,Yes,Mumbai,cooleypatricia,Consented,No,No,22-01-2025,22-01-2025,Complaint,28-01-2025,22-01-2025,Within SLA,0,,No,0,23-01-2025,
22-01-2025,7e158789-13b4-45ba-aec3-5dff0268e69e,Phone,Change,Hybrid,Amg-35631,Mumbai,Carlson LLC,Multi-channeled local conglomeration,Team A,Approval,Group 2,Team Y,Offshore,22-01-2025,Sydney,Manual,No,No,Mumbai,mgarcia,Consented,No,Yes,19-01-2025,20-01-2025,Query,23-01-2025,,Within SLA,2,1,Yes,1,25-01-2025,Awaiting Docs
22-01-2025,37c98360-6917-42e2-9bda-79cc4e1a443a,Email,Follow-up,Debt,KnH-78811,Singapore,"Page, Wong and Eaton",Business-focused hybrid moderator,Team C,Audit,Group 1,Team Z,Offshore,23-01-2025,London,Manual,Yes,Yes,Sydney,heidiwilson,Consented,No,Yes,19-01-2025,21-01-2025,Transaction,22-01-2025,,Within SLA,2,0,Yes,1,24-01-2025,Awaiting Docs
22-01-2025,0351dfd7-d2c3-4b9b-a49b-c6793509d895,Phone,Request,Equity,mYR-71675,Mumbai,"Jackson, Price and Lang",Team-oriented content-based instruction set,Team C,Validation,Group 1,Team Y,Offshore,22-01-2025,Sydney,Manual,No,Yes,London,langjohn,Non consented,Yes,Yes,18-01-2025,20-01-2025,Query,24-01-2025,22-01-2025,Within SLA,2,,Yes,3,24-01-2025,Client Response
22-01-2025,86e1d4b3-dc69-4efe-9d29-e050785f7313,Phone,Request,Debt,tSM-54900,London,Sanchez Ltd,Diverse radical help-desk,Team A,Audit,Group 1,Team Y,Offshore,24-01-2025,Mumbai,Manual,No,No,Sydney,nathan58,Non consented,No,Yes,21-01-2025,22-01-2025,Transaction,24-01-2025,22-01-2025,Within SLA,1,,No,0,24-01-2025,
22-01-2025,6bcd1399-b1e1-45ce-977c-b0ac399388f9,Email,Closure,Hybrid,jEr-39981,London,"Robinson, Chen and Thomas",Inverse zero-defect Graphical User Interface,Team B,Audit,Group 1,Team X,Onshore,23-01-2025,Singapore,Manual,Yes,No,Singapore,kimjoseph,Consented,Yes,No,19-01-2025,21-01-2025,Complaint,22-01-2025,,Within SLA,2,0,No,0,23-01-2025,
22-01-2025,bd61592e-b358-479c-99a6-a259d56891ca,Portal,Closure,Debt,FAl-25814,Singapore,Fuentes and Sons,Triple-buffered content-based initiative,Team B,Audit,Group 1,Team Z,Offshore,22-01-2025,Mumbai,RPA,Yes,Yes,Mumbai,martinezamber,Non consented,Yes,No,18-01-2025,20-01-2025,Transaction,22-01-2025,22-01-2025,Within SLA,2,,No,0,25-01-2025,
22-01-2025,42d8c523-9925-4f49-924a-6fea3bb7a577,Phone,Request,Equity,quo-54138,Singapore,Edwards and Sons,Vision-oriented actuating portal,Team C,Audit,Group 2,Team Z,Onshore,23-01-2025,New York,Manual,Yes,Yes,Mumbai,alaningram,Consented,No,Yes,19-01-2025,21-01-2025,Query,27-01-2025,,Within SLA,2,5,No,0,23-01-2025,
22-01-2025,8574fe6d-6662-4715-990a-74f178652552,Paper,Closure,Debt,SQt-59096,Sydney,Macias-Riley,Persistent client-driven product,Team B,Validation,Group 1,Team X,Onshore,22-01-2025,Mumbai,Manual,Yes,No,Singapore,robin08,Non consented,No,No,20-01-2025,20-01-2025,Complaint,28-01-2025,,Within SLA,2,6,Yes,1,24-01-2025,System Issue
22-01-2025,9af853fb-9c7c-4702-bfcf-648cfc3ac087,Paper,Closure,Equity,vPW-21773,Mumbai,Barnes PLC,Cloned asymmetric database,Team B,Validation,Group 2,Team Z,Onshore,23-01-2025,Mumbai,RPA,No,Yes,Mumbai,sydneyruiz,Non consented,No,Yes,18-01-2025,21-01-2025,Transaction,28-01-2025,22-01-2025,Within SLA,2,,No,0,25-01-2025,
